"","origin","dev","value","lob"
"8-1",8,1,359480,"GenIns"
"9-1",9,1,376686,"GenIns"
"10-1",10,1,344014,"GenIns"
"1-2",1,2,1124788,"GenIns"
"2-2",2,2,1236139,"GenIns"
"3-2",3,2,1292306,"GenIns"
"4-2",4,2,1418858,"GenIns"
"5-2",5,2,1136350,"GenIns"
"6-2",6,2,1333217,"GenIns"
"7-2",7,2,1288463,"GenIns"
"8-2",8,2,1421128,"GenIns"
"9-2",9,2,1363294,"GenIns"
"1-3",1,3,1735330,"GenIns"
"2-3",2,3,2170033,"GenIns"
"3-3",3,3,2218525,"GenIns"
"4-3",4,3,2195047,"GenIns"
"5-3",5,3,2128333,"GenIns"
"6-3",6,3,2180715,"GenIns"
"7-3",7,3,2419861,"GenIns"
"8-3",8,3,2864498,"GenIns"
"1-4",1,4,2218270,"GenIns"
"2-4",2,4,3353322,"GenIns"
"3-4",3,4,3235179,"GenIns"
"4-4",4,4,3757447,"GenIns"
"5-4",5,4,2897821,"GenIns"
"6-4",6,4,2985752,"GenIns"
"7-4",7,4,3483130,"GenIns"
"1-5",1,5,2745596,"GenIns"
"2-5",2,5,3799067,"GenIns"
"3-5",3,5,3985995,"GenIns"
"4-5",4,5,4029929,"GenIns"
"5-5",5,5,3402672,"GenIns"
"6-5",6,5,3691712,"GenIns"
"1-6",1,6,3319994,"GenIns"
"2-6",2,6,4120063,"GenIns"
"3-6",3,6,4132918,"GenIns"
"4-6",4,6,4381982,"GenIns"
"5-6",5,6,3873311,"GenIns"
"1-7",1,7,3466336,"GenIns"
"2-7",2,7,4647867,"GenIns"
"3-7",3,7,4628910,"GenIns"
"4-7",4,7,4588268,"GenIns"
"1-8",1,8,3606286,"GenIns"
"2-8",2,8,4914039,"GenIns"
"3-8",3,8,4909315,"GenIns"
"1-9",1,9,3833515,"GenIns"
"2-9",2,9,5339085,"GenIns"
"1-10",1,10,3901463,"GenIns"
"1978-15",1978,1,108651,"M3IR5"
"1979-14",1979,1,98706,"M3IR5"
"1980-13",1980,1,133106,"M3IR5"
"1981-13",1981,1,125731,"M3IR5"
"1982-12",1982,1,161765,"M3IR5"
"1983-12",1983,1,226364,"M3IR5"
"1984-12",1984,1,228411,"M3IR5"
"1985-12",1985,1,277868,"M3IR5"
"1986-12",1986,1,302519,"M3IR5"
"1987-12",1987,1,393525,"M3IR5"
"1988-11",1988,1,450855,"M3IR5"
"1989-11",1989,1,572576,"M3IR5"
"1990-11",1990,1,576021,"M3IR5"
"1991-1",1991,1,580068,"M3IR5"
"1978-21",1978,2,206180,"M3IR5"
"1979-21",1979,2,193922,"M3IR5"
"1980-21",1980,2,242849,"M3IR5"
"1981-22",1981,2,267209,"M3IR5"
"1982-22",1982,2,336653,"M3IR5"
"1983-22",1983,2,429555,"M3IR5"
"1984-22",1984,2,445248,"M3IR5"
"1985-22",1985,2,540340,"M3IR5"
"1986-22",1986,2,662534,"M3IR5"
"1987-21",1987,2,781579,"M3IR5"
"1988-21",1988,2,784522,"M3IR5"
"1989-21",1989,2,1140589,"M3IR5"
"1990-2",1990,2,1045745,"M3IR5"
"1978-31",1978,3,282059,"M3IR5"
"1979-31",1979,3,276947,"M3IR5"
"1980-31",1980,3,339214,"M3IR5"
"1981-32",1981,3,411545,"M3IR5"
"1982-32",1982,3,505357,"M3IR5"
"1983-32",1983,3,608691,"M3IR5"
"1984-32",1984,3,687298,"M3IR5"
"1985-32",1985,3,805715,"M3IR5"
"1986-31",1986,3,1006019,"M3IR5"
"1987-31",1987,3,1165004,"M3IR5"
"1988-31",1988,3,1182798,"M3IR5"
"1989-3",1989,3,1522866,"M3IR5"
"1978-41",1978,4,351477,"M3IR5"
"1979-41",1979,4,349343,"M3IR5"
"1980-41",1980,4,470207,"M3IR5"
"1981-42",1981,4,536399,"M3IR5"
"1982-42",1982,4,661871,"M3IR5"
"1983-42",1983,4,768526,"M3IR5"
"1984-42",1984,4,936720,"M3IR5"
"1985-41",1985,4,1033214,"M3IR5"
"1986-41",1986,4,1230355,"M3IR5"
"1987-41",1987,4,1491085,"M3IR5"
"1988-4",1988,4,1565075,"M3IR5"
"1978-51",1978,5,407019,"M3IR5"
"1979-51",1979,5,454257,"M3IR5"
"1980-51",1980,5,583067,"M3IR5"
"1981-52",1981,5,643433,"M3IR5"
"1982-52",1982,5,807366,"M3IR5"
"1983-52",1983,5,925196,"M3IR5"
"1984-51",1984,5,1142364,"M3IR5"
"1985-51",1985,5,1254874,"M3IR5"
"1986-51",1986,5,1450689,"M3IR5"
"1987-5",1987,5,1762363,"M3IR5"
"1978-61",1978,6,469894,"M3IR5"
"1979-61",1979,6,548431,"M3IR5"
"1980-61",1980,6,670175,"M3IR5"
"1981-62",1981,6,765448,"M3IR5"
"1982-62",1982,6,946320,"M3IR5"
"1983-61",1983,6,1078304,"M3IR5"
"1984-61",1984,6,1363360,"M3IR5"
"1985-61",1985,6,1502061,"M3IR5"
"1986-6",1986,6,1685116,"M3IR5"
"1978-71",1978,7,533591,"M3IR5"
"1979-71",1979,7,625534,"M3IR5"
"1980-71",1980,7,769873,"M3IR5"
"1981-72",1981,7,875962,"M3IR5"
"1982-71",1982,7,1071800,"M3IR5"
"1983-71",1983,7,1220491,"M3IR5"
"1984-71",1984,7,1532909,"M3IR5"
"1985-7",1985,7,1709979,"M3IR5"
"1978-81",1978,8,606059,"M3IR5"
"1979-81",1979,8,696072,"M3IR5"
"1980-81",1980,8,862367,"M3IR5"
"1981-81",1981,8,969479,"M3IR5"
"1982-81",1982,8,1178727,"M3IR5"
"1983-81",1983,8,1381128,"M3IR5"
"1984-8",1984,8,1699767,"M3IR5"
"1978-91",1978,9,671173,"M3IR5"
"1979-91",1979,9,767819,"M3IR5"
"1980-9",1980,9,951591,"M3IR5"
"1981-91",1981,9,1065364,"M3IR5"
"1982-91",1982,9,1289906,"M3IR5"
"1983-9",1983,9,1520639,"M3IR5"
"1978-101",1978,10,733609,"M3IR5"
"1979-10",1979,10,845386,"M3IR5"
"1980-10",1980,10,1033708,"M3IR5"
"1981-101",1981,10,1162990,"M3IR5"
"1982-10",1982,10,1407960,"M3IR5"
"1978-11",1978,11,791592,"M3IR5"
"1979-11",1979,11,914320,"M3IR5"
"1980-11",1980,11,1111898,"M3IR5"
"1981-11",1981,11,1246682,"M3IR5"
"1978-12",1978,12,848143,"M3IR5"
"1979-12",1979,12,984787,"M3IR5"
"1980-12",1980,12,1190402,"M3IR5"
"1978-13",1978,13,896671,"M3IR5"
"1979-13",1979,13,1028347,"M3IR5"
"1978-14",1978,14,935694,"M3IR5"
"1-15",1,1,58046,"Mortgage"
"2-14",2,1,24492,"Mortgage"
"3-13",3,1,32848,"Mortgage"
"4-12",4,1,21439,"Mortgage"
"5-11",5,1,40397,"Mortgage"
"6-11",6,1,90748,"Mortgage"
"7-11",7,1,62096,"Mortgage"
"8-11",8,1,24983,"Mortgage"
"9-11",9,1,13121,"Mortgage"
"1-21",1,2,127970,"Mortgage"
"2-21",2,2,141767,"Mortgage"
"3-21",3,2,274682,"Mortgage"
"4-21",4,2,529828,"Mortgage"
"5-21",5,2,763394,"Mortgage"
"6-21",6,2,951994,"Mortgage"
"7-21",7,2,868480,"Mortgage"
"8-21",8,2,284441,"Mortgage"
"1-31",1,3,476599,"Mortgage"
"2-31",2,3,984288,"Mortgage"
"3-31",3,3,1522637,"Mortgage"
"4-31",4,3,2900301,"Mortgage"
"5-31",5,3,2920745,"Mortgage"
"6-31",6,3,4210640,"Mortgage"
"7-31",7,3,1954797,"Mortgage"
"1-41",1,4,1027692,"Mortgage"
"2-41",2,4,2142656,"Mortgage"
"3-41",3,4,3203427,"Mortgage"
"4-41",4,4,4999019,"Mortgage"
"5-41",5,4,4989572,"Mortgage"
"6-41",6,4,5866482,"Mortgage"
"1-51",1,5,1360489,"Mortgage"
"2-51",2,5,2961978,"Mortgage"
"3-51",3,5,4445927,"Mortgage"
"4-51",4,5,6460112,"Mortgage"
"5-51",5,5,5648563,"Mortgage"
"1-61",1,6,1647310,"Mortgage"
"2-61",2,6,3683940,"Mortgage"
"3-61",3,6,5158781,"Mortgage"
"4-61",4,6,6853904,"Mortgage"
"1-71",1,7,1819179,"Mortgage"
"2-71",2,7,4048898,"Mortgage"
"3-71",3,7,5342585,"Mortgage"
"1-81",1,8,1906852,"Mortgage"
"2-81",2,8,4115760,"Mortgage"
"1-91",1,9,1950105,"Mortgage"
"1-16",1,1,59966,"GeneralLiab"
"2-15",2,1,49685,"GeneralLiab"
"3-14",3,1,51914,"GeneralLiab"
"4-13",4,1,84937,"GeneralLiab"
"5-12",5,1,98921,"GeneralLiab"
"6-12",6,1,71708,"GeneralLiab"
"7-12",7,1,92350,"GeneralLiab"
"8-12",8,1,95731,"GeneralLiab"
"9-12",9,1,97518,"GeneralLiab"
"10-11",10,1,173686,"GeneralLiab"
"11-1",11,1,139821,"GeneralLiab"
"12-1",12,1,154965,"GeneralLiab"
"13-1",13,1,196124,"GeneralLiab"
"14-1",14,1,204325,"GeneralLiab"
"1-22",1,2,163152,"GeneralLiab"
"2-22",2,2,153344,"GeneralLiab"
"3-22",3,2,170048,"GeneralLiab"
"4-22",4,2,273183,"GeneralLiab"
"5-22",5,2,278329,"GeneralLiab"
"6-22",6,2,245587,"GeneralLiab"
"7-22",7,2,285507,"GeneralLiab"
"8-22",8,2,313144,"GeneralLiab"
"9-21",9,2,343218,"GeneralLiab"
"10-2",10,2,459416,"GeneralLiab"
"11-2",11,2,436958,"GeneralLiab"
"12-2",12,2,528080,"GeneralLiab"
"13-2",13,2,772971,"GeneralLiab"
"1-32",1,3,254512,"GeneralLiab"
"2-32",2,3,272936,"GeneralLiab"
"3-32",3,3,319204,"GeneralLiab"
"4-32",4,3,407318,"GeneralLiab"
"5-32",5,3,448530,"GeneralLiab"
"6-32",6,3,416882,"GeneralLiab"
"7-32",7,3,466214,"GeneralLiab"
"8-31",8,3,553702,"GeneralLiab"
"9-3",9,3,575441,"GeneralLiab"
"10-3",10,3,722336,"GeneralLiab"
"11-3",11,3,809926,"GeneralLiab"
"12-3",12,3,1032684,"GeneralLiab"
"1-42",1,4,349524,"GeneralLiab"
"2-42",2,4,383349,"GeneralLiab"
"3-42",3,4,425029,"GeneralLiab"
"4-42",4,4,547288,"GeneralLiab"
"5-42",5,4,561691,"GeneralLiab"
"6-42",6,4,560958,"GeneralLiab"
"7-41",7,4,620030,"GeneralLiab"
"8-4",8,4,755978,"GeneralLiab"
"9-4",9,4,769017,"GeneralLiab"
"10-4",10,4,955335,"GeneralLiab"
"11-4",11,4,1174196,"GeneralLiab"
"1-52",1,5,433265,"GeneralLiab"
"2-52",2,5,458791,"GeneralLiab"
"3-52",3,5,503999,"GeneralLiab"
"4-52",4,5,621738,"GeneralLiab"
"5-52",5,5,641332,"GeneralLiab"
"6-51",6,5,654652,"GeneralLiab"
"7-5",7,5,741226,"GeneralLiab"
"8-5",8,5,857859,"GeneralLiab"
"9-5",9,5,934103,"GeneralLiab"
"10-5",10,5,1141750,"GeneralLiab"
"1-62",1,6,475778,"GeneralLiab"
"2-62",2,6,503358,"GeneralLiab"
"3-62",3,6,544769,"GeneralLiab"
"4-62",4,6,687139,"GeneralLiab"
"5-61",5,6,721696,"GeneralLiab"
"6-6",6,6,726813,"GeneralLiab"
"7-6",7,6,827979,"GeneralLiab"
"8-6",8,6,962825,"GeneralLiab"
"9-6",9,6,1019303,"GeneralLiab"
"1-72",1,7,513660,"GeneralLiab"
"2-72",2,7,532615,"GeneralLiab"
"3-72",3,7,559475,"GeneralLiab"
"4-71",4,7,736304,"GeneralLiab"
"5-7",5,7,742110,"GeneralLiab"
"6-7",6,7,768358,"GeneralLiab"
"7-7",7,7,873526,"GeneralLiab"
"8-7",8,7,1022241,"GeneralLiab"
"1-82",1,8,520309,"GeneralLiab"
"2-82",2,8,551437,"GeneralLiab"
"3-81",3,8,577425,"GeneralLiab"
"4-8",4,8,757440,"GeneralLiab"
"5-8",5,8,752434,"GeneralLiab"
"6-8",6,8,793603,"GeneralLiab"
"7-8",7,8,896728,"GeneralLiab"
"1-92",1,9,527978,"GeneralLiab"
"2-91",2,9,555792,"GeneralLiab"
"3-9",3,9,588342,"GeneralLiab"
"4-9",4,9,758036,"GeneralLiab"
"5-9",5,9,768638,"GeneralLiab"
"6-9",6,9,811100,"GeneralLiab"
"1-101",1,10,539039,"GeneralLiab"
"2-10",2,10,556671,"GeneralLiab"
"3-10",3,10,590985,"GeneralLiab"
"4-10",4,10,782084,"GeneralLiab"
"5-10",5,10,768373,"GeneralLiab"
"1-11",1,11,537301,"GeneralLiab"
"2-11",2,11,560844,"GeneralLiab"
"3-11",3,11,601296,"GeneralLiab"
"4-11",4,11,784632,"GeneralLiab"
"1-12",1,12,540873,"GeneralLiab"
"2-12",2,12,563571,"GeneralLiab"
"3-12",3,12,602710,"GeneralLiab"
"1-13",1,13,547696,"GeneralLiab"
"2-13",2,13,562795,"GeneralLiab"
"1-14",1,14,549589,"GeneralLiab"
"1-17",1,1,114423,"AutoLiab"
"2-16",2,1,152296,"AutoLiab"
"3-15",3,1,144325,"AutoLiab"
"4-14",4,1,145904,"AutoLiab"
"5-13",5,1,170333,"AutoLiab"
"6-13",6,1,189643,"AutoLiab"
"7-13",7,1,179022,"AutoLiab"
"8-13",8,1,205908,"AutoLiab"
"9-13",9,1,210951,"AutoLiab"
"10-12",10,1,213426,"AutoLiab"
"11-11",11,1,249508,"AutoLiab"
"12-11",12,1,258425,"AutoLiab"
"13-11",13,1,368762,"AutoLiab"
"14-11",14,1,394997,"AutoLiab"
"1-23",1,2,247961,"AutoLiab"
"2-23",2,2,305175,"AutoLiab"
"3-23",3,2,307244,"AutoLiab"
"4-23",4,2,307636,"AutoLiab"
"5-23",5,2,341501,"AutoLiab"
"6-23",6,2,361123,"AutoLiab"
"7-23",7,2,396224,"AutoLiab"
"8-23",8,2,416047,"AutoLiab"
"9-22",9,2,426429,"AutoLiab"
"10-21",10,2,509222,"AutoLiab"
"11-21",11,2,580010,"AutoLiab"
"12-21",12,2,686012,"AutoLiab"
"13-21",13,2,909066,"AutoLiab"
"1-33",1,3,312982,"AutoLiab"
"2-33",2,3,376613,"AutoLiab"
"3-33",3,3,413609,"AutoLiab"
"4-33",4,3,387094,"AutoLiab"
"5-33",5,3,434102,"AutoLiab"
"6-33",6,3,446857,"AutoLiab"
"7-33",7,3,497304,"AutoLiab"
"8-32",8,3,520444,"AutoLiab"
"9-31",9,3,525047,"AutoLiab"
"10-31",10,3,649433,"AutoLiab"
"11-31",11,3,722136,"AutoLiab"
"12-31",12,3,915109,"AutoLiab"
"1-43",1,4,344340,"AutoLiab"
"2-43",2,4,418299,"AutoLiab"
"3-43",3,4,464041,"AutoLiab"
"4-43",4,4,433736,"AutoLiab"
"5-43",5,4,470329,"AutoLiab"
"6-43",6,4,508083,"AutoLiab"
"7-42",7,4,553487,"AutoLiab"
"8-41",8,4,565721,"AutoLiab"
"9-41",9,4,587893,"AutoLiab"
"10-41",10,4,731692,"AutoLiab"
"11-41",11,4,844159,"AutoLiab"
"1-53",1,5,371479,"AutoLiab"
"2-53",2,5,440308,"AutoLiab"
"3-53",3,5,519265,"AutoLiab"
"4-53",4,5,463120,"AutoLiab"
"5-53",5,5,482201,"AutoLiab"
"6-52",6,5,526562,"AutoLiab"
"7-51",7,5,581849,"AutoLiab"
"8-51",8,5,600609,"AutoLiab"
"9-51",9,5,640328,"AutoLiab"
"10-51",10,5,790901,"AutoLiab"
"1-63",1,6,371102,"AutoLiab"
"2-63",2,6,465623,"AutoLiab"
"3-63",3,6,527216,"AutoLiab"
"4-63",4,6,478931,"AutoLiab"
"5-62",5,6,500961,"AutoLiab"
"6-61",6,6,540118,"AutoLiab"
"7-61",7,6,611640,"AutoLiab"
"8-61",8,6,630802,"AutoLiab"
"9-61",9,6,663152,"AutoLiab"
"1-73",1,7,380991,"AutoLiab"
"2-73",2,7,473584,"AutoLiab"
"3-73",3,7,535450,"AutoLiab"
"4-72",4,7,482529,"AutoLiab"
"5-71",5,7,504141,"AutoLiab"
"6-71",6,7,547641,"AutoLiab"
"7-71",7,7,622884,"AutoLiab"
"8-71",8,7,648365,"AutoLiab"
"1-83",1,8,385468,"AutoLiab"
"2-83",2,8,478427,"AutoLiab"
"3-82",3,8,536859,"AutoLiab"
"4-81",4,8,488056,"AutoLiab"
"5-81",5,8,507679,"AutoLiab"
"6-81",6,8,549605,"AutoLiab"
"7-81",7,8,635452,"AutoLiab"
"1-93",1,9,385152,"AutoLiab"
"2-92",2,9,478314,"AutoLiab"
"3-91",3,9,538920,"AutoLiab"
"4-91",4,9,485572,"AutoLiab"
"5-91",5,9,508627,"AutoLiab"
"6-91",6,9,549693,"AutoLiab"
"1-102",1,10,392260,"AutoLiab"
"2-101",2,10,479907,"AutoLiab"
"3-101",3,10,539589,"AutoLiab"
"4-101",4,10,486034,"AutoLiab"
"5-101",5,10,507752,"AutoLiab"
"1-111",1,11,391225,"AutoLiab"
"2-111",2,11,480755,"AutoLiab"
"3-111",3,11,539765,"AutoLiab"
"4-111",4,11,485016,"AutoLiab"
"1-121",1,12,391328,"AutoLiab"
"2-121",2,12,485138,"AutoLiab"
"3-121",3,12,540742,"AutoLiab"
"1-131",1,13,391537,"AutoLiab"
"2-131",2,13,483974,"AutoLiab"
"1-141",1,14,391428,"AutoLiab"
"1-18",1,1,101125,"PersonalAutoPaid"
"2-17",2,1,102541,"PersonalAutoPaid"
"3-16",3,1,114932,"PersonalAutoPaid"
"4-15",4,1,114452,"PersonalAutoPaid"
"5-14",5,1,115597,"PersonalAutoPaid"
"6-14",6,1,127760,"PersonalAutoPaid"
"7-14",7,1,135616,"PersonalAutoPaid"
"8-14",8,1,127177,"PersonalAutoPaid"
"9-14",9,1,128631,"PersonalAutoPaid"
"10-13",10,1,126288,"PersonalAutoPaid"
"1-24",1,2,209921,"PersonalAutoPaid"
"2-24",2,2,203213,"PersonalAutoPaid"
"3-24",3,2,227704,"PersonalAutoPaid"
"4-24",4,2,227761,"PersonalAutoPaid"
"5-24",5,2,243611,"PersonalAutoPaid"
"6-24",6,2,259416,"PersonalAutoPaid"
"7-24",7,2,262294,"PersonalAutoPaid"
"8-24",8,2,244249,"PersonalAutoPaid"
"9-23",9,2,246803,"PersonalAutoPaid"
"1-34",1,3,266618,"PersonalAutoPaid"
"2-34",2,3,260677,"PersonalAutoPaid"
"3-34",3,3,298120,"PersonalAutoPaid"
"4-34",4,3,301072,"PersonalAutoPaid"
"5-34",5,3,315215,"PersonalAutoPaid"
"6-34",6,3,326975,"PersonalAutoPaid"
"7-34",7,3,327086,"PersonalAutoPaid"
"8-33",8,3,317972,"PersonalAutoPaid"
"1-44",1,4,305107,"PersonalAutoPaid"
"2-44",2,4,303182,"PersonalAutoPaid"
"3-44",3,4,345542,"PersonalAutoPaid"
"4-44",4,4,340669,"PersonalAutoPaid"
"5-44",5,4,354490,"PersonalAutoPaid"
"6-44",6,4,365780,"PersonalAutoPaid"
"7-43",7,4,367357,"PersonalAutoPaid"
"1-54",1,5,327850,"PersonalAutoPaid"
"2-54",2,5,328932,"PersonalAutoPaid"
"3-54",3,5,367760,"PersonalAutoPaid"
"4-54",4,5,359979,"PersonalAutoPaid"
"5-54",5,5,372376,"PersonalAutoPaid"
"6-53",6,5,386725,"PersonalAutoPaid"
"1-64",1,6,340669,"PersonalAutoPaid"
"2-64",2,6,340948,"PersonalAutoPaid"
"3-64",3,6,377999,"PersonalAutoPaid"
"4-64",4,6,369248,"PersonalAutoPaid"
"5-63",5,6,382738,"PersonalAutoPaid"
"1-74",1,7,348430,"PersonalAutoPaid"
"2-74",2,7,347333,"PersonalAutoPaid"
"3-74",3,7,383611,"PersonalAutoPaid"
"4-73",4,7,373325,"PersonalAutoPaid"
"1-84",1,8,351193,"PersonalAutoPaid"
"2-84",2,8,349813,"PersonalAutoPaid"
"3-83",3,8,385224,"PersonalAutoPaid"
"1-94",1,9,353353,"PersonalAutoPaid"
"2-93",2,9,350523,"PersonalAutoPaid"
"1-103",1,10,353584,"PersonalAutoPaid"
"1-19",1,1,325423,"PersonalAutoIncurred"
"2-18",2,1,323627,"PersonalAutoIncurred"
"3-17",3,1,358410,"PersonalAutoIncurred"
"4-16",4,1,405319,"PersonalAutoIncurred"
"5-15",5,1,434065,"PersonalAutoIncurred"
"6-15",6,1,417178,"PersonalAutoIncurred"
"7-15",7,1,398929,"PersonalAutoIncurred"
"8-15",8,1,378754,"PersonalAutoIncurred"
"9-15",9,1,351081,"PersonalAutoIncurred"
"10-14",10,1,329236,"PersonalAutoIncurred"
"1-25",1,2,336426,"PersonalAutoIncurred"
"2-25",2,2,339267,"PersonalAutoIncurred"
"3-25",3,2,386330,"PersonalAutoIncurred"
"4-25",4,2,396641,"PersonalAutoIncurred"
"5-25",5,2,429311,"PersonalAutoIncurred"
"6-25",6,2,422307,"PersonalAutoIncurred"
"7-25",7,2,398787,"PersonalAutoIncurred"
"8-25",8,2,361097,"PersonalAutoIncurred"
"9-24",9,2,335507,"PersonalAutoIncurred"
"1-35",1,3,346061,"PersonalAutoIncurred"
"2-35",2,3,344507,"PersonalAutoIncurred"
"3-35",3,3,385684,"PersonalAutoIncurred"
"4-35",4,3,391833,"PersonalAutoIncurred"
"5-35",5,3,422181,"PersonalAutoIncurred"
"6-35",6,3,413486,"PersonalAutoIncurred"
"7-35",7,3,398020,"PersonalAutoIncurred"
"8-34",8,3,369328,"PersonalAutoIncurred"
"1-45",1,4,347726,"PersonalAutoIncurred"
"2-45",2,4,349295,"PersonalAutoIncurred"
"3-45",3,4,384699,"PersonalAutoIncurred"
"4-45",4,4,384819,"PersonalAutoIncurred"
"5-45",5,4,409322,"PersonalAutoIncurred"
"6-45",6,4,406711,"PersonalAutoIncurred"
"7-44",7,4,400540,"PersonalAutoIncurred"
"1-55",1,5,350995,"PersonalAutoIncurred"
"2-55",2,5,351038,"PersonalAutoIncurred"
"3-55",3,5,387678,"PersonalAutoIncurred"
"4-55",4,5,380914,"PersonalAutoIncurred"
"5-55",5,5,394154,"PersonalAutoIncurred"
"6-54",6,5,406503,"PersonalAutoIncurred"
"1-65",1,6,353598,"PersonalAutoIncurred"
"2-65",2,6,351583,"PersonalAutoIncurred"
"3-65",3,6,387954,"PersonalAutoIncurred"
"4-65",4,6,380163,"PersonalAutoIncurred"
"5-64",5,6,392802,"PersonalAutoIncurred"
"1-75",1,7,354797,"PersonalAutoIncurred"
"2-75",2,7,352050,"PersonalAutoIncurred"
"3-75",3,7,388540,"PersonalAutoIncurred"
"4-74",4,7,379706,"PersonalAutoIncurred"
